sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD	fract_vit_sites_IBD
C09/PG0072-C/ERR019057	C12/PG0058-C/ERR019063	7934	0.7346	-1.31607e+04	4	5.611	40	0.61917	0.56584	0.56883
C09/PG0072-C/ERR019057	C13/PG0054-C/ERR019062	7769	0.7617	-1.32822e+04	4	4.825	35	0.55903	0.55935	0.56244
C09/PG0072-C/ERR019057	C14/PG0060-C/ERR019058	9414	0.8305	-1.48254e+04	4	5.680	41	0.43705	0.41187	0.41407
C09/PG0072-C/ERR019057	C15/PG0057-C/ERR019069	7034	0.6277	-1.17748e+04	4	5.059	33	0.65117	0.67013	0.67227
C10/PG0063-C/ERR019060	C11/PG0064-C/ERR019071	7536	0.8365	-1.39335e+04	4	5.706	42	0.55292	0.52793	0.53227
C10/PG0063-C/ERR019060	C12/PG0058-C/ERR019063	7320	0.8863	-1.36576e+04	4	4.937	36	0.49269	0.51297	0.51597
C10/PG0063-C/ERR019060	C13/PG0054-C/ERR019062	5838	0.6752	-1.16739e+04	4	5.291	33	0.67100	0.70355	0.70384
C10/PG0063-C/ERR019060	C14/PG0060-C/ERR019058	7425	0.7569	-1.32005e+04	4	5.368	37	0.55332	0.57751	0.57558
C10/PG0063-C/ERR019060	C15/PG0057-C/ERR019069	7001	0.8904	-1.30921e+04	4	4.909	37	0.54258	0.53329	0.53733
C11/PG0064-C/ERR019071	C12/PG0058-C/ERR019063	7722	0.7530	-1.35090e+04	4	5.563	40	0.54287	0.56139	0.56604
C11/PG0064-C/ERR019071	C13/PG0054-C/ERR019062	7243	0.7293	-1.32220e+04	4	5.712	41	0.60143	0.60331	0.60957
C11/PG0064-C/ERR019071	C14/PG0060-C/ERR019058	9344	0.8543	-1.54597e+04	4	5.951	43	0.42858	0.40377	0.40937
C11/PG0064-C/ERR019071	C15/PG0057-C/ERR019069	7286	0.7320	-1.28473e+04	4	5.394	39	0.59735	0.60233	0.60546
C12/PG0058-C/ERR019063	C13/PG0054-C/ERR019062	7416	0.8410	-1.34302e+04	4	4.881	35	0.55875	0.53392	0.53557
C12/PG0058-C/ERR019063	C14/PG0060-C/ERR019058	8071	0.7498	-1.36716e+04	4	5.337	37	0.54493	0.54698	0.54401
C12/PG0058-C/ERR019063	C15/PG0057-C/ERR019069	7707	0.8801	-1.35106e+04	4	5.582	41	0.51141	0.49461	0.49747
C13/PG0054-C/ERR019062	C14/PG0060-C/ERR019058	8031	0.7958	-1.38589e+04	4	5.262	40	0.51467	0.52570	0.52874
C13/PG0054-C/ERR019062	C15/PG0057-C/ERR019069	6023	0.6374	-1.13552e+04	4	6.302	38	0.72880	0.71312	0.71691
C14/PG0060-C/ERR019058	C15/PG0057-C/ERR019069	8412	0.8465	-1.40110e+04	4	5.083	38	0.46561	0.47113	0.47522
